date,rel_transistors,rel_max_clock,rel_tdp,rel_perf,rel_perfnorm
2002-01-01,23913.04347826087,15740.74074074074,127.0,,
2005-01-04,100000.0,29629.62962962963,260.0,,
2006-01-01,163478.26086956522,32037.037037037036,260.0,,
2006-01-01,163478.26086956522,34537.03703703704,260.0,,
2007-01-01,65652.17391304347,14814.814814814816,62.0,,
2007-01-04,45652.17391304348,14814.814814814816,70.0,,
2007-01-04,45652.17391304348,16666.666666666668,70.0,,
2007-01-04,65652.17391304347,16018.518518518518,62.0,,
2006-01-07,65652.17391304347,20000.0,62.0,,
2007-01-01,253043.47826086957,14814.814814814816,100.0,inf,inf
2007-01-01,65652.17391304347,16944.444444444445,54.0,,
2007-01-04,65652.17391304347,17222.222222222223,62.0,,
2007-01-07,126521.73913043478,17222.222222222223,60.0,,
2007-01-07,253043.47826086957,22222.222222222223,160.0,inf,inf
2007-01-07,253043.47826086957,22222.222222222223,160.0,inf,inf
2007-01-07,253043.47826086957,22222.222222222223,160.0,inf,inf
2007-01-07,253043.47826086957,27129.62962962963,160.0,inf,inf
2007-01-07,253043.47826086957,27129.62962962963,160.0,inf,inf
2007-01-07,253043.47826086957,27129.62962962963,160.0,inf,inf
2007-01-07,253043.47826086957,18518.51851851852,100.0,,
2007-01-07,253043.47826086957,14814.814814814816,160.0,inf,inf
2007-01-07,253043.47826086957,14814.814814814816,160.0,inf,inf
2007-01-07,253043.47826086957,14814.814814814816,160.0,inf,inf
2007-01-07,253043.47826086957,14814.814814814816,160.0,inf,inf
2007-01-07,253043.47826086957,19722.222222222223,160.0,inf,inf
2007-01-07,253043.47826086957,22222.222222222223,160.0,inf,inf
2007-01-07,253043.47826086957,22222.222222222223,160.0,inf,inf
2007-01-07,253043.47826086957,22222.222222222223,160.0,inf,inf
2007-01-07,253043.47826086957,22222.222222222223,160.0,inf,inf
2007-01-07,253043.47826086957,22222.222222222223,160.0,inf,inf
2007-01-07,253043.47826086957,27129.62962962963,260.0,inf,inf
2007-01-07,253043.47826086957,27129.62962962963,260.0,inf,inf
2007-01-07,253043.47826086957,27129.62962962963,260.0,inf,inf
2007-01-07,45652.17391304348,18518.51851851852,130.0,,
2007-01-07,253043.47826086957,17222.222222222223,100.0,inf,inf
2008-01-01,45652.17391304348,22222.222222222223,130.0,,
2007-01-10,126521.73913043478,13518.518518518518,70.0,,
2007-01-10,126521.73913043478,14814.814814814816,70.0,,
2007-01-10,356521.7391304348,25925.925925925927,160.0,inf,inf
2008-01-07,356521.7391304348,24629.62962962963,100.0,,
2007-01-01,126521.73913043478,16018.518518518518,54.0,,
2007-01-10,45652.17391304348,11111.111111111111,38.0,,
2008-01-01,45652.17391304348,14814.814814814816,130.0,,
2008-01-01,126521.73913043478,16018.518518518518,70.0,,
2009-01-04,45652.17391304348,22222.222222222223,130.0,,
2008-01-04,45652.17391304348,18518.51851851852,130.0,,
2008-01-07,45652.17391304348,20370.370370370372,70.0,,
2008-01-04,20434.782608695652,17222.222222222223,4.8,,
2008-01-04,20434.782608695652,7407.407407407408,1.3,,
2008-01-10,126521.73913043478,20000.0,70.0,,
